,Inverse Document Frequency
allthittills,-0.15415067982725836
alltibland,-0.15415067982725836
alltid,-0.15415067982725836
alltifrån,-0.15415067982725836
alltihop,-0.15415067982725836
alltiid,-0.15415067982725836
alltikop,-0.15415067982725836
allting,-0.15415067982725836
alltintill,-0.15415067982725836
alltjamt,-0.15415067982725836
alltjämt,-0.15415067982725836
alltmedan,-0.15415067982725836
alltmer,-0.15415067982725836
alltmera,-0.15415067982725836
alltsamman,-0.15415067982725836
alltsammans,-0.15415067982725836
alltsedan,-0.15415067982725836
alltsen,-0.15415067982725836
alltsom,-0.15415067982725836
alltsomoftast,-0.15415067982725836
alltså,-0.15415067982725836
alltunder,-0.15415067982725836
allurar,-0.15415067982725836
allvar,-0.15415067982725836
allvaret,-0.15415067982725836
allvarets,-0.15415067982725836
allvarlig,-0.15415067982725836
allvarliga,-0.15415067982725836
allvarligare,-0.15415067982725836
allvarligaste,-0.15415067982725836
allvarlige,-0.15415067982725836
allvarligt,-0.15415067982725836
allvarsam,-0.15415067982725836
allvarsamma,-0.15415067982725836
allvarsammare,-0.15415067982725836
allvarsamt,-0.15415067982725836
allvarsmänniskan,-0.15415067982725836
allvarsord,-0.15415067982725836
allvarssak,-0.15415067982725836
allvarsstund,-0.15415067982725836
allvarstider,-0.15415067982725836
allvetande,-0.15415067982725836
allå,-0.15415067982725836
allé,-0.15415067982725836
alléen,-0.15415067982725836
alléer,-0.15415067982725836
alléerna,-0.15415067982725836
allén,-0.15415067982725836
alm,-0.15415067982725836
almens,-0.15415067982725836
almåsaberget,-0.15415067982725836
aln,-0.15415067982725836
alnar,-0.15415067982725836
alnarna,-0.15415067982725836
alnmått,-0.15415067982725836
alnsbred,-0.15415067982725836
alnsdjup,-0.15415067982725836
alnshög,-0.15415067982725836
alnslångt,-0.15415067982725836
alnvis,-0.15415067982725836
alnön,-0.15415067982725836
alomkransade,-0.15415067982725836
alorna,-0.15415067982725836
alperna,-0.15415067982725836
alrotsbord,-0.15415067982725836
alsnår,-0.15415067982725836
alstra,-0.15415067982725836
alstrade,-0.15415067982725836
alstrar,-0.15415067982725836
alstrat,-0.15415067982725836
altan,-0.15415067982725836
altanen,-0.15415067982725836
altaner,-0.15415067982725836
altanerna,-0.15415067982725836
altardisken,-0.15415067982725836
altarduken,-0.15415067982725836
altare,-0.15415067982725836
altaren,-0.15415067982725836
altaret,-0.15415067982725836
altarskåp,-0.15415067982725836
altartjänsten,-0.15415067982725836
altringer,-0.15415067982725836
altringers,-0.15415067982725836
alva,-0.15415067982725836
alvaret,-0.15415067982725836
alvastra,-0.15415067982725836
alvuskar,-0.15415067982725836
ambrosia,-0.15415067982725836
amen,-0.15415067982725836
amerika,-0.15415067982725836
amerikabiljetter,-0.15415067982725836
amerikanare,-0.15415067982725836
amerikanarna,-0.15415067982725836
amerikanarnas,-0.15415067982725836
amerikaner,-0.15415067982725836
amerikansk,-0.15415067982725836
amerikanska,-0.15415067982725836
amerikanskan,-0.15415067982725836
amerikanske,-0.15415067982725836
amerikanskt,-0.15415067982725836
ametist,-0.15415067982725836
ametister,-0.15415067982725836
amiral,-0.15415067982725836
amiralitetskyrkan,-0.15415067982725836
amnan,-0.15415067982725836
amnerus,-0.15415067982725836
amninloppet,-0.15415067982725836
amor,-0.15415067982725836
amorin,-0.15415067982725836
amoriner,-0.15415067982725836
an,-0.15415067982725836
ana,-0.15415067982725836
anacka,-0.15415067982725836
anade,-0.15415067982725836
anagga,-0.15415067982725836
anar,-0.15415067982725836
anat,-0.15415067982725836
anbefallde,-0.15415067982725836
anblick,-0.15415067982725836
anblicken,-0.15415067982725836
anbragt,-0.15415067982725836
anbragte,-0.15415067982725836
anbringas,-0.15415067982725836
anbud,-0.15415067982725836
anbudet,-0.15415067982725836
and,-0.15415067982725836
anda,-0.15415067982725836
andades,-0.15415067982725836
andakt,-0.15415067982725836
andakta,-0.15415067982725836
andakten,-0.15415067982725836
andaktsfullt,-0.15415067982725836
andaktsstund,-0.15415067982725836
andan,-0.15415067982725836
andanten,-0.15415067982725836
andar,-0.15415067982725836
andarna,-0.15415067982725836
andarnas,-0.15415067982725836
andas,-0.15415067982725836
andats,-0.15415067982725836
ande,-0.15415067982725836
andedrag,-0.15415067982725836
andedräkt,-0.15415067982725836
andedräkten,-0.15415067982725836
andefattig,-0.15415067982725836
andeliv,-0.15415067982725836
anden,-0.15415067982725836
andens,-0.15415067982725836
andercson,-0.15415067982725836
anders,-0.15415067982725836
andersen,-0.15415067982725836
andersens,-0.15415067982725836
andersson,-0.15415067982725836
andes,-0.15415067982725836
andetag,-0.15415067982725836
andetagen,-0.15415067982725836
andfådd,-0.15415067982725836
andhonan,-0.15415067982725836
andlig,-0.15415067982725836
andliga,-0.15415067982725836
andligen,-0.15415067982725836
andligt,-0.15415067982725836
andlös,-0.15415067982725836
andlösa,-0.15415067982725836
andlöst,-0.15415067982725836
